"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Feb 04 10:37:55 CST 2021","Thu Feb 04 10:38:41 CST 2021","45817","script","test02_xx","TestXx","","","test04_zmxx_error_demo",""
"skipped","Thu Feb 04 10:39:24 CST 2021","Thu Feb 04 10:39:24 CST 2021","0","script","test03_glsx","TestGlsx","","","test03_glsh",""
"passed","Thu Feb 04 10:39:10 CST 2021","Thu Feb 04 10:39:14 CST 2021","3839","script","test03_glsx","TestGlsx","","","test01_glsh",""
"passed","Thu Feb 04 10:37:06 CST 2021","Thu Feb 04 10:37:12 CST 2021","5775","script","test02_xx","TestXx","","","test01_zimubiao",""
"passed","Thu Feb 04 10:36:18 CST 2021","Thu Feb 04 10:36:27 CST 2021","8777","script","test01_login","TestLogin","","","test01_login",""
"failed","Thu Feb 04 10:37:42 CST 2021","Thu Feb 04 10:37:55 CST 2021","12511","script","test02_xx","TestXx","","","test03_zmxx",""
"broken","Thu Feb 04 10:39:14 CST 2021","Thu Feb 04 10:39:24 CST 2021","10233","script","test03_glsx","TestGlsx","","","test02_glsh",""
"passed","Thu Feb 04 10:37:12 CST 2021","Thu Feb 04 10:37:42 CST 2021","30518","script","test02_xx","TestXx","","","test02_shipin",""
